Brazil,6,1
Iran,10,1
Ukraine,4,1
United States,10,1
China,10,2
France,4,2
India,16,2
Ireland,7,2
Japan,4,2
Australia,7,3
Great Britain,3,3
India,2,3
Iran,8,3
Korea,4,3
China,5,4
India,7,4
Russia,7,4
United States,10,4
France,1,5
Ukraine,16,5
France,1,6
Great Britain,2,6
Iran,6,6
Ireland,1,6
Japan,18,6
Australia,10,7
Brazil,5,7
Germany,1,7
Great Britain,6,7
Ireland,5,7
Korea,2,7
Mexico,26,7
France,6,8
Great Britain,3,8
Iran,10,8
Russia,10,8
United States,10,8
Brazil,5,9
Iran,10,9
Korea,18,9
Mexico,9,9
Ukraine,8,9
United States,2,9
Iran,16,10
Korea,9,10
Mexico,1,10
Russia,2,10
Ukraine,10,10
Brazil,3,11
France,20,11
Great Britain,9,11
Iran,7,11
Ireland,9,11
Mexico,1,11
Ukraine,2,11
China,20,12
Germany,5,12
Iran,5,12
Japan,10,12
Mexico,6,12
Germany,8,13
India,4,13
Russia,16,13
Ireland,4,14
Germany,14,15
Japan,10,15
Korea,1,15
Mexico,33,15
Russia,1,15
United States,10,15
China,2,16
Germany,10,16
Korea,5,16
United States,10,16
Brazil,8,17
Great Britain,3,17
Ireland,6,17
Korea,3,17
Mexico,2,17
Germany,10,18
Great Britain,4,18
China,9,19
France,11,19
Germany,1,19
Korea,5,19
Russia,14,19
China,6,20
Ireland,4,20
Australia,4,21
Brazil,2,21
Great Britain,9,21
India,4,21
Mexico,10,21
United States,17,21
China,10,22
France,5,22
Ireland,10,22
Brazil,17,23
China,10,23
Japan,10,23
Ukraine,5,23
Japan,20,24
Australia,3,25
Ireland,13,25
Mexico,5,25
Russia,6,25
Ukraine,20,25
Australia,4,26
Brazil,3,26
Iran,8,26
Russia,3,26
Ukraine,1,26
United States,3,26
Germany,8,27
Iran,3,27
Korea,4,27
Australia,6,28
Brazil,10,28
France,1,28
India,6,32
Ukraine,10,32
France,1,33
Great Britain,5,33
Iran,8,33
Brazil,4,34
India,5,34
Iran,7,34
Korea,3,34
Ukraine,8,34
Brazil,3,35
Germany,3,35
Great Britain,6,35
Mexico,4,35
Brazil,5,36
China,2,36
Great Britain,7,36
India,7,36
Iran,12,36
Mexico,12,36
Ukraine,3,36
Brazil,1,37
Germany,5,37
Korea,10,37
Mexico,6,37
Ukraine,10,37
China,3,38
Germany,10,38
United States,4,38
Australia,4,39
France,4,39
India,2,39
Korea,2,39
Mexico,7,39
Great Britain,7,40
India,11,40
Japan,3,40
Australia,3,41
Brazil,4,41
Great Britain,6,41
Iran,7,41
Ireland,8,41
Korea,8,41
Mexico,6,41
Russia,11,41
Ukraine,17,41
Iran,6,42
Japan,6,42
Mexico,7,42
Australia,9,43
France,2,43
Korea,1,43
United States,8,43
Great Britain,6,44
India,10,44
Iran,4,44
Korea,10,44
Australia,7,45
China,20,45
Germany,9,45
Great Britain,1,45
Mexico,12,45
Ukraine,2,45
Ireland,10,46
United States,10,46
Brazil,3,47
China,8,47
Mexico,3,47
India,4,48
Iran,8,48
Japan,9,48
Brazil,6,49
Great Britain,3,49
Ireland,8,49
Korea,4,49
United States,8,49
Australia,3,50
Brazil,1,50
China,2,50
France,12,50
Germany,16,50
Korea,2,50
Ukraine,2,50
France,19,51
Germany,10,51
India,3,51
Japan,5,51
Korea,2,51
Mexico,5,51
Brazil,18,52
Great Britain,7,52
Iran,7,52
Ireland,10,52
Japan,3,52
Russia,4,52
Ukraine,6,52
United States,17,52
Australia,5,53
Brazil,5,53
Germany,6,54
India,6,54
Iran,14,54
Mexico,2,54
Russia,10,54
France,11,55
India,8,55
Japan,5,55
Korea,8,55
Mexico,10,55
United States,6,55
Brazil,8,56
India,8,56
United States,29,56
Great Britain,16,57
Korea,23,57
Russia,4,57
Ukraine,9,57
Australia,12,58
Brazil,2,58
France,2,58
Iran,4,58
United States,2,58
Great Britain,10,59
India,3,59
Ireland,1,59
Japan,6,59
Australia,10,60
Brazil,9,60
Ireland,4,60
